State,County,Average Number of guns
Wisconsin,Kewaunee,901.0833333
Wisconsin,La Crosse,901.0833333
Wisconsin,Lafayette,901.0833333
Wisconsin,Langlade,901.0833333
Wisconsin,Lincoln,901.0833333
Wisconsin,Manitowoc,901.0833333
Wisconsin,Marathon,901.0833333
Wisconsin,Marinette,901.0833333
Wisconsin,Marquette,901.0833333
Wisconsin,Menominee,901.0833333
Wisconsin,Milwaukee,901.0833333
Wisconsin,Monroe,901.0833333
Wisconsin,Oconto,901.0833333
Wisconsin,Oneida,901.0833333
Wisconsin,Outagamie,901.0833333
Wisconsin,Ozaukee,901.0833333
Wisconsin,Pepin,901.0833333
Wisconsin,Pierce,901.0833333
Wisconsin,Polk,901.0833333
Wisconsin,Portage,901.0833333
Wisconsin,Price,901.0833333
Wisconsin,Racine,901.0833333
Wisconsin,Richland,901.0833333
Wisconsin,Rock,901.0833333
Wisconsin,Rusk,901.0833333
Wisconsin,St. Croix,901.0833333
Wisconsin,Sauk,901.0833333
Wisconsin,Sawyer,901.0833333
Wisconsin,Shawano,901.0833333
Wisconsin,Sheboygan,901.0833333
Wisconsin,Taylor,901.0833333
Wisconsin,Trempealeau,901.0833333
Wisconsin,Vernon,901.0833333
Wisconsin,Vilas,901.0833333
Wisconsin,Walworth,901.0833333
Wisconsin,Washburn,901.0833333
Wisconsin,Washington County,901.0833333
Wisconsin,Waukesha,901.0833333
Wisconsin,Waupaca,901.0833333
Wisconsin,Waushara,901.0833333
Wisconsin,Winnebago,901.0833333
Wisconsin,Wood,901.0833333
Wyoming,Albany,5774.173913
Wyoming,Big Horn,5774.173913
Wyoming,Campbell,5774.173913
Wyoming,Carbon,5774.173913
Wyoming,Converse,5774.173913
Wyoming,Crook,5774.173913
Wyoming,Fremont,5774.173913
Wyoming,Goshen,5774.173913
Wyoming,Hot Springs,5774.173913
Wyoming,Johnson,5774.173913
Wyoming,Laramie,5774.173913
Wyoming,Lincoln,5774.173913
Wyoming,Natrona,5774.173913
Wyoming,Niobrara,5774.173913
Wyoming,Park,5774.173913
Wyoming,Platte,5774.173913
Wyoming,Sheridan,5774.173913
Wyoming,Sublette,5774.173913
Wyoming,Sweetwater,5774.173913
Wyoming,Teton,5774.173913
Wyoming,Uinta,5774.173913
Wyoming,Washakie,5774.173913
Wyoming,Weston,5774.173913
